"","mpg","cyl","eng","wgt"
"106",12,8,350,4499
"107",18,6,232,2789
"108",20,4,97,2279
"109",21,4,140,2401
"110",22,4,108,2379
"111",18,3,70,2124
"112",19,4,122,2310
"113",21,6,155,2472
"114",26,4,98,2265
"115",15,8,350,4082
"116",16,8,400,4278
"117",29,4,68,1867
"118",24,4,116,2158
"119",20,4,114,2582
"120",19,4,121,2868
"121",15,8,318,3399
"122",24,4,121,2660
"123",20,6,156,2807
"124",11,8,350,3664
"125",20,6,198,3102
"126",19,6,232,2901
"127",15,6,250,3336
"128",31,4,79,1950
"129",26,4,122,2451
"130",32,4,71,1836
"131",25,4,140,2542
"132",16,6,250,3781
"133",16,6,258,3632
"134",18,6,225,3613
"135",16,8,302,4141
"136",13,8,350,4699
"137",14,8,318,4457
"138",14,8,302,4638
"139",14,8,304,4257
"140",29,4,98,2219
"141",26,4,79,1963
"142",26,4,97,2300
"143",31,4,76,1649
"144",32,4,83,2003
"145",28,4,90,2125
"146",24,4,90,2108
"147",26,4,116,2246
"148",24,4,120,2489
"149",26,4,108,2391
"150",31,4,79,2000
"151",19,6,225,3264
"152",18,6,250,3459
"153",15,6,250,3432
"154",15,6,250,3158
"155",16,8,400,4668
"156",15,8,350,4440
"157",16,8,318,4498
"158",14,8,351,4657
"159",17,6,231,3907
"160",16,6,250,3897
"161",15,6,258,3730
"162",18,6,225,3785
"163",21,6,231,3039
"164",20,8,262,3221
"165",13,8,302,3169
"166",29,4,97,2171
"167",23,4,140,2639
"168",20,6,232,2914
"169",23,4,140,2592
"170",24,4,134,2702
"171",25,4,90,2223
"172",24,4,119,2545
"173",18,6,171,2984
"174",29,4,90,1937
"175",19,6,232,3211
"176",23,4,115,2694
"177",23,4,120,2957
"178",22,4,121,2945
"179",25,4,121,2671
"180",33,4,91,1795
"181",28,4,107,2464
"182",25,4,116,2220
"183",25,4,140,2572
"184",26,4,98,2255
"185",27,4,101,2202
"186",17.5,8,305,4215
"187",16,8,318,4190
"188",15.5,8,304,3962
"189",14.5,8,351,4215
"190",22,6,225,3233
"191",22,6,250,3353
"192",24,6,200,3012
"193",22.5,6,232,3085
"194",29,4,85,2035
"195",24.5,4,98,2164
"196",29,4,90,1937
"197",33,4,91,1795
"198",20,6,225,3651
"199",18,6,250,3574
"200",18.5,6,250,3645
"201",17.5,6,258,3193
"202",29.5,4,97,1825
"203",32,4,85,1990
"204",28,4,97,2155
"205",26.5,4,140,2565
"206",20,4,130,3150
"207",13,8,318,3940
"208",19,4,120,3270
"209",19,6,156,2930
"210",16.5,6,168,3820
"211",16.5,8,350,4380
"212",13,8,350,4055
"213",13,8,302,3870
"214",13,8,318,3755
"215",31.5,4,98,2045
"216",30,4,111,2155
"217",36,4,79,1825
"218",25.5,4,122,2300
"219",33.5,4,85,1945
"220",17.5,8,305,3880
"221",17,8,260,4060
"222",15.5,8,318,4140
"223",15,8,302,4295
"224",17.5,6,250,3520
"225",20.5,6,231,3425
"226",19,6,225,3630
"227",18.5,6,250,3525
"228",16,8,400,4220
"229",15.5,8,350,4165
"230",15.5,8,400,4325
"231",16,8,351,4335
"232",29,4,97,1940
"233",24.5,4,151,2740
"234",26,4,97,2265
"235",25.5,4,140,2755
"236",30.5,4,98,2051
"237",33.5,4,98,2075
"238",30,4,97,1985
"239",30.5,4,97,2190
"240",22,6,146,2815
"241",21.5,4,121,2600
"242",21.5,3,80,2720
"243",43.1,4,90,1985
"244",36.1,4,98,1800
"245",32.8,4,78,1985
"246",39.4,4,85,2070
"247",36.1,4,91,1800
"248",19.9,8,260,3365
"249",19.4,8,318,3735
"250",20.2,8,302,3570
"251",19.2,6,231,3535
"252",20.5,6,200,3155
"253",20.2,6,200,2965
"254",25.1,4,140,2720
"255",20.5,6,225,3430
"256",19.4,6,232,3210
"257",20.6,6,231,3380
"258",20.8,6,200,3070
"259",18.6,6,225,3620
"260",18.1,6,258,3410
"261",19.2,8,305,3425
"262",17.7,6,231,3445
"263",18.1,8,302,3205
"264",17.5,8,318,4080
"265",30,4,98,2155
"266",27.5,4,134,2560
"267",27.2,4,119,2300
"268",30.9,4,105,2230
"269",21.1,4,134,2515
"270",23.2,4,156,2745
"271",23.8,4,151,2855
"272",23.9,4,119,2405
"273",20.3,5,131,2830
"274",17,6,163,3140
"275",21.6,4,121,2795
"276",16.2,6,163,3410
"277",31.5,4,89,1990
"278",29.5,4,98,2135
"279",21.5,6,231,3245
"280",19.8,6,200,2990
"281",22.3,4,140,2890
"282",20.2,6,232,3265
"283",20.6,6,225,3360
"284",17,8,305,3840
"285",17.6,8,302,3725
"286",16.5,8,351,3955
"287",18.2,8,318,3830
"288",16.9,8,350,4360
"289",15.5,8,351,4054
"290",19.2,8,267,3605
"291",18.5,8,360,3940
"292",31.9,4,89,1925
"293",34.1,4,86,1975
"294",35.7,4,98,1915
"295",27.4,4,121,2670
"296",25.4,5,183,3530
"297",23,8,350,3900
"298",27.2,4,141,3190
"299",23.9,8,260,3420
"300",34.2,4,105,2200
"301",34.5,4,105,2150
"302",31.8,4,85,2020
"303",37.3,4,91,2130
"304",28.4,4,151,2670
"305",28.8,6,173,2595
"306",26.8,6,173,2700
"307",33.5,4,151,2556
"308",41.5,4,98,2144
"309",38.1,4,89,1968
"310",32.1,4,98,2120
"311",37.2,4,86,2019
"312",28,4,151,2678
"313",26.4,4,140,2870
"314",24.3,4,151,3003
"315",19.1,6,225,3381
"316",34.3,4,97,2188
"317",29.8,4,134,2711
"318",31.3,4,120,2542
"319",37,4,119,2434
"320",32.2,4,108,2265
"321",46.6,4,86,2110
"322",27.9,4,156,2800
"323",40.8,4,85,2110
"324",44.3,4,90,2085
"325",43.4,4,90,2335
"326",36.4,5,121,2950
"327",30,4,146,3250
"328",44.6,4,91,1850
"329",33.8,4,97,2145
"330",29.8,4,89,1845
"331",32.7,6,168,2910
"332",23.7,3,70,2420
"333",35,4,122,2500
"334",32.4,4,107,2290
"335",27.2,4,135,2490
"336",26.6,4,151,2635
"337",25.8,4,156,2620
"338",23.5,6,173,2725
"339",30,4,135,2385
"340",39.1,4,79,1755
"341",39,4,86,1875
"342",35.1,4,81,1760
"343",32.3,4,97,2065
"344",37,4,85,1975
"345",37.7,4,89,2050
"346",34.1,4,91,1985
"347",34.7,4,105,2215
"348",34.4,4,98,2045
"349",29.9,4,98,2380
"350",33,4,105,2190
"351",33.7,4,107,2210
"352",32.4,4,108,2350
"353",32.9,4,119,2615
"354",31.6,4,120,2635
"355",28.1,4,141,3230
"356",30.7,6,145,3160
"357",25.4,6,168,2900
"358",24.2,6,146,2930
"359",22.4,6,231,3415
"360",26.6,8,350,3725
"361",20.2,6,200,3060
"362",17.6,6,225,3465
"363",28,4,112,2605
"364",27,4,112,2640
"365",34,4,112,2395
"366",31,4,112,2575
"367",29,4,135,2525
"368",27,4,151,2735
"369",24,4,140,2865
"370",36,4,105,1980
"371",37,4,91,2025
"372",31,4,91,1970
"373",38,4,105,2125
"374",36,4,98,2125
"375",36,4,120,2160
"376",36,4,107,2205
"377",34,4,108,2245
"378",38,4,91,1965
"379",32,4,91,1965
"380",38,4,91,1995
"381",25,6,181,2945
"382",38,6,262,3015
"383",26,4,156,2585
"384",22,6,232,2835
"385",32,4,144,2665
"386",36,4,135,2370
"387",27,4,151,2950
"388",27,4,140,2790
"389",44,4,97,2130
"390",32,4,135,2295
"391",28,4,120,2625
"392",31,4,119,2720
